epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,8081.48,0.77439,0.62138,1.11124,0.77402,0.7049,0.70785,0.52887,1.31488,1.04987,1.44477,0.0159729,0.00532429,0.0159729,0.00532429,0.0159729,0.00532429,0.0159729,0.00532429
43,8262.35,0.77127,0.61272,1.11146,0.79976,0.70449,0.71794,0.53511,1.27723,1.09643,1.39995,0.0154244,0.00514147,0.0154244,0.00514147,0.0154244,0.00514147,0.0154244,0.00514147
44,8440.43,0.75801,0.60456,1.1017,0.79234,0.72294,0.71627,0.53389,1.26819,1.08031,1.38927,0.0148756,0.00495853,0.0148756,0.00495853,0.0148756,0.00495853,0.0148756,0.00495853
45,8621.19,0.75282,0.59772,1.10182,0.77312,0.71716,0.71318,0.53377,1.32531,1.1647,1.45012,0.0143271,0.00477571,0.0143271,0.00477571,0.0143271,0.00477571,0.0143271,0.00477571
46,8804.9,0.75584,0.59821,1.09932,0.78346,0.7041,0.70155,0.53547,1.2981,1.0701,1.42428,0.0137798,0.00459327,0.0137798,0.00459327,0.0137798,0.00459327,0.0137798,0.00459327
47,8985.36,0.74727,0.58915,1.09533,0.78269,0.7005,0.70392,0.53434,1.27418,1.0692,1.41104,0.0132344,0.00441145,0.0132344,0.00441145,0.0132344,0.00441145,0.0132344,0.00441145
48,9167.26,0.75211,0.59193,1.09669,0.74472,0.71562,0.69117,0.53533,1.28641,1.09674,1.41212,0.0126915,0.00423051,0.0126915,0.00423051,0.0126915,0.00423051,0.0126915,0.00423051
49,9351.45,0.73016,0.58274,1.08874,0.75584,0.71256,0.70151,0.54131,1.25515,1.09624,1.39002,0.012152,0.00405068,0.012152,0.00405068,0.012152,0.00405068,0.012152,0.00405068
50,9529.85,0.72767,0.57141,1.08431,0.79481,0.70442,0.71379,0.54504,1.26124,1.09447,1.39019,0.0116167,0.00387222,0.0116167,0.00387222,0.0116167,0.00387222,0.0116167,0.00387222
51,9708.38,0.72121,0.56526,1.07932,0.77938,0.71142,0.70457,0.5393,1.27148,1.08481,1.39546,0.0110861,0.00369537,0.0110861,0.00369537,0.0110861,0.00369537,0.0110861,0.00369537
52,9887.42,0.71489,0.5582,1.07706,0.77931,0.69314,0.69649,0.53293,1.26024,1.11561,1.39983,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
53,10065.9,0.70907,0.5559,1.07349,0.80023,0.7028,0.70407,0.53749,1.28768,1.14507,1.42642,0.0100424,0.00334745,0.0100424,0.00334745,0.0100424,0.00334745,0.0100424,0.00334745
54,10246,0.70742,0.54898,1.07587,0.75959,0.71295,0.6956,0.52944,1.28165,1.13427,1.42343,0.0095306,0.00317687,0.0095306,0.00317687,0.0095306,0.00317687,0.0095306,0.00317687
55,10422.2,0.69574,0.54065,1.06885,0.76146,0.72957,0.70927,0.53251,1.28023,1.08965,1.40134,0.00902651,0.00300884,0.00902651,0.00300884,0.00902651,0.00300884,0.00902651,0.00300884
56,10600.9,0.69663,0.54303,1.07189,0.7757,0.69781,0.70406,0.53929,1.28053,1.16499,1.41238,0.00853079,0.0028436,0.00853079,0.0028436,0.00853079,0.0028436,0.00853079,0.0028436
57,10778.8,0.68729,0.53088,1.06314,0.80905,0.68272,0.70835,0.54179,1.27673,1.12501,1.41895,0.0080441,0.00268137,0.0080441,0.00268137,0.0080441,0.00268137,0.0080441,0.00268137
58,10957.7,0.68647,0.52826,1.06507,0.80158,0.68954,0.7038,0.54244,1.27708,1.13872,1.43617,0.00756713,0.00252238,0.00756713,0.00252238,0.00756713,0.00252238,0.00756713,0.00252238
59,11136.1,0.6811,0.52667,1.06094,0.78659,0.70234,0.70878,0.54119,1.24057,1.15402,1.39336,0.00710051,0.00236684,0.00710051,0.00236684,0.00710051,0.00236684,0.00710051,0.00236684
60,11315.7,0.66937,0.51646,1.05592,0.78989,0.70612,0.70869,0.54238,1.23919,1.12574,1.39836,0.00664488,0.00221496,0.00664488,0.00221496,0.00664488,0.00221496,0.00664488,0.00221496
61,11494.6,0.66426,0.5093,1.05121,0.80145,0.71159,0.70923,0.53866,1.23937,1.16616,1.39161,0.00620088,0.00206696,0.00620088,0.00206696,0.00620088,0.00206696,0.00620088,0.00206696
62,11673.8,0.65872,0.5071,1.04917,0.80935,0.71058,0.71105,0.54294,1.22722,1.17479,1.38717,0.00576909,0.00192303,0.00576909,0.00192303,0.00576909,0.00192303,0.00576909,0.00192303
63,11851.7,0.65158,0.50015,1.04786,0.80444,0.70696,0.7114,0.54392,1.22128,1.14661,1.38246,0.00535012,0.00178337,0.00535012,0.00178337,0.00535012,0.00178337,0.00535012,0.00178337
64,12030,0.65071,0.49718,1.04653,0.79718,0.7051,0.70295,0.54083,1.21453,1.15397,1.38889,0.00494454,0.00164818,0.00494454,0.00164818,0.00494454,0.00164818,0.00494454,0.00164818
65,12207.8,0.64303,0.49238,1.04056,0.79857,0.71009,0.7031,0.54014,1.20638,1.13167,1.38316,0.00455289,0.00151763,0.00455289,0.00151763,0.00455289,0.00151763,0.00455289,0.00151763
66,12386.7,0.64005,0.48538,1.04097,0.81612,0.69438,0.70498,0.53999,1.21987,1.13756,1.40101,0.00417572,0.00139191,0.00417572,0.00139191,0.00417572,0.00139191,0.00417572,0.00139191
67,12563.2,0.63615,0.48367,1.04022,0.80227,0.70167,0.69745,0.5349,1.2251,1.15077,1.40053,0.00381354,0.00127118,0.00381354,0.00127118,0.00381354,0.00127118,0.00381354,0.00127118
68,12740.3,0.62936,0.47706,1.03256,0.7927,0.70838,0.70327,0.53586,1.22675,1.1278,1.40551,0.00346684,0.00115561,0.00346684,0.00115561,0.00346684,0.00115561,0.00346684,0.00115561
69,12917.1,0.62874,0.48196,1.03857,0.78248,0.7201,0.70664,0.53848,1.23023,1.11525,1.40777,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
70,13094.7,0.62073,0.47607,1.03403,0.80101,0.70888,0.70215,0.53866,1.22743,1.12605,1.40832,0.00282177,0.000940589,0.00282177,0.000940589,0.00282177,0.000940589,0.00282177,0.000940589
